Designator,Mid X,Mid Y,Rotation,Layer
R35,66.665,-151.5,0.0,top
R37,179.6,-137.2,90.0,top
R39,161.0,-141.6,90.0,top
R40,179.6,-142.0,270.0,top
R401,165.8,-49.0,90.0,top
R402,165.8,-51.0,90.0,top
R405,204.4,-144.2,90.0,top
R406,192.8,-144.39,90.0,top
R407,179.0,-46.4,0.0,top
R408,175.2,-54.71,90.0,top
R409,175.7,-52.96,180.0,top
R42,46.85,-49.3,180.0,top
R43,46.2,-45.2,270.0,top
R44,62.7,-55.85,270.0,top
R45,62.7,-57.95,90.0,top
R46,113.1,-33.45,90.0,top
R48,64.2,-42.35,0.0,top
R50,65.7,-49.65,0.0,bottom
R501,197.2,-127.26,90.0,top
R503,211.95,-119.03,270.0,top
R504,208.95,-119.03,270.0,top
R505,183.2,-132.5,180.0,top
R506,183.19,-133.5,180.0,top
R507,183.2,-128.75,0.0,top
R51,78.2,-47.25,90.0,bottom
R510,187.4,-136.5,270.0,top
R512,189.2,-122.0,0.0,top
R513,195.94,-133.25,180.0,top
R514,190.69,-121.5,90.0,top
R52,63.35,-52.55,45.0,top
R53,46.8,-33.05,90.0,top
R54,46.8,-35.05,90.0,top
R55,46.8,-37.05,90.0,top
R56,46.8,-39.05,90.0,top
R57,46.8,-41.05,90.0,top
R58,50.6,-69.55,90.0,top
R59,50.95,-67.49,90.0,top
R60,79.8,-49.75,180.0,top
R61,76.35,-53.55,180.0,top
R62,90.8,-48.8,90.0,top
R63,90.8,-46.95,270.0,top
R64,75.1,-59.7,90.0,top
R65,74.15,-59.7,90.0,top
R66,46.8,-54.05,270.0,top
R67,46.8,-56.05,270.0,top
R68,46.8,-58.05,270.0,top
R69,46.8,-60.05,270.0,top
R70,46.8,-62.05,270.0,top
R71,96.15,-44.3,270.0,top
R72,110.4,-33.85,180.0,top
R73,108.6,-37.14,270.0,bottom
R74,107.7,-42.75,90.0,top
R75,111.6,-37.15,90.0,bottom
R76,105.3,-42.55,180.0,top
R77,110.6,-37.15,90.0,bottom
R78,105.8,-40.25,90.0,top
R80,110.35,-42.45,90.0,bottom
R82,110.35,-39.65,90.0,bottom
R83,108.7,-42.75,90.0,top
R84,108.7,-40.85,90.0,top
R85,107.7,-40.85,270.0,top
R86,188.0,-46.4,180.0,top
R87,176.4752,-66.873,270.0,top
R88,206.95,-29.74,270.0,top
R89,208.2,-30.74,90.0,top
R90,206.95,-32.0,270.0,top
R91,208.95,-32.5,180.0,top
RN1,78.6,-42.35,90.0,top
RN2,78.6,-44.85,90.0,top
RN3,91.0,-38.05,180.0,top
RN4,93.505,-38.05,180.0,top
RN5,98.7,-37.05,0.0,top
RN6,101.205,-37.05,0.0,top
SW1,62.45,-69.43,180.0,top
SW401,206.95,-149.35,180.0,top
SW402,194.95,-149.65,180.0,top
TP1,125.45,-33.75,90.0,top
TP10,43.3,-46.3,0.0,bottom
TP11,45.7,-46.75,0.0,bottom
TP12,43.3,-48.35,0.0,bottom
TP13,43.95,-30.5,0.0,top
TP14,69.3,-68.05,0.0,bottom
TP15,76.1,-68.05,0.0,bottom
TP16,76.1,-65.55,0.0,bottom
TP17,52.2,-51.95,0.0,top
TP18,60.9,-41.05,0.0,top
TP19,69.3,-63.05,0.0,bottom
TP2,197.4,-38.2,0.0,top
TP20,65.1,-53.45,0.0,top
TP21,112.4,-43.25,0.0,bottom
TP3,171.4,-135.4,0.0,top
TP4,87.3,-51.05,0.0,top
TP5,88.3,-49.05,0.0,top
TP6,58.45,-63.25,0.0,bottom
TP7,64.2,-55.35,0.0,top
TP8,64.2,-57.05,0.0,top
TP9,76.1,-63.05,0.0,bottom
U1,191.769657,-61.570981,180.0,top
U12,58.15,-136.6875,270.0,top
U13,53.05,-136.8375,270.0,top
U14,55.0,-127.7,180.0,top
U15,208.0875,-98.25,0.0,top
U16,44.5,-65.8125,90.0,top
U18,49.7,-49.35,180.0,top
U19,57.65,-47.55,0.0,top
U20,64.2,-62.95,0.0,top
U21,60.7,-62.95,0.0,top
U22,71.5,-47.55,270.0,top
U23,49.0,-64.85,180.0,top
U24,53.7,-67.05,90.0,top
U25,53.7,-61.95,90.0,top
U26,78.6,-51.65,180.0,top
U27,83.9,-37.75,180.0,top
U28,83.9,-40.55,180.0,top
U29,83.9,-43.35,180.0,top
U3,186.2063,-36.4126,90.0,top
U30,83.9,-46.15,180.0,top
U31,87.9,-37.75,180.0,top
U32,87.9,-40.55,180.0,top
U33,87.9,-43.35,180.0,top
U34,87.9,-46.15,180.0,top
U35,100.5,-44.25,270.0,top
U36,111.1,-41.85,0.0,top
U37,111.1,-45.65,180.0,top
U38,111.1,-36.2,180.0,top
U4,77.7,-88.5,180.0,top
U403,170.8,-50.1375,270.0,top
U43,189.55,-75.242499,270.0,top
U44,184.55,-75.317499,270.0,top
U501,209.5875,-114.0,180.0,top
U503,223.0875,-124.6625,0.0,top
U506,199.3,-127.5,0.0,top
U507,193.0125,-136.8625,270.0,top
U508,189.6,-130.65,270.0,top
Y1,48.4,-126.5,270.0,top
Y2,49.7,-44.45,0.0,top
Y3,173.9752,-66.873,180.0,top
